Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.546716522
75% Corpus,2,0.01,0.31,0.525851408
75% Corpus,2,0.01,0.61,0.518918765
75% Corpus,2,0.01,0.91,0.536221316
75% Corpus,2,0.01,symmetric,0.533108312
75% Corpus,2,0.31,0.01,0.553977938
75% Corpus,2,0.31,0.31,0.52343398
75% Corpus,2,0.31,0.61,0.522161338
75% Corpus,2,0.31,0.91,0.527355002
75% Corpus,2,0.31,symmetric,0.53715824
75% Corpus,2,0.61,0.01,0.535442865
75% Corpus,2,0.61,0.31,0.537044055
75% Corpus,2,0.61,0.61,0.550159385
75% Corpus,2,0.61,0.91,0.536027272
75% Corpus,2,0.61,symmetric,0.542351904
75% Corpus,2,0.91,0.01,0.536699234
75% Corpus,2,0.91,0.31,0.534381591
75% Corpus,2,0.91,0.61,0.543805565
75% Corpus,2,0.91,0.91,0.543288688
75% Corpus,2,0.91,symmetric,0.535442865
75% Corpus,2,symmetric,0.01,0.543805565
75% Corpus,2,symmetric,0.31,0.534045237
75% Corpus,2,symmetric,0.61,0.542351904
75% Corpus,2,symmetric,0.91,0.532914269
75% Corpus,2,symmetric,symmetric,0.541220936
75% Corpus,2,asymmetric,0.01,0.553876125
75% Corpus,2,asymmetric,0.31,0.551431896
75% Corpus,2,asymmetric,0.61,0.529573227
75% Corpus,2,asymmetric,0.91,0.569722698
75% Corpus,2,asymmetric,symmetric,0.552842766
75% Corpus,3,0.01,0.01,0.527719637
75% Corpus,3,0.01,0.31,0.504894502
75% Corpus,3,0.01,0.61,0.508483965
75% Corpus,3,0.01,0.91,0.532497576
75% Corpus,3,0.01,symmetric,0.513671804
75% Corpus,3,0.31,0.01,0.495726725
75% Corpus,3,0.31,0.31,0.537874666
75% Corpus,3,0.31,0.61,0.512495433
75% Corpus,3,0.31,0.91,0.555830497
75% Corpus,3,0.31,symmetric,0.538332897
75% Corpus,3,0.61,0.01,0.509791294
75% Corpus,3,0.61,0.31,0.508544791
75% Corpus,3,0.61,0.61,0.494516461
75% Corpus,3,0.61,0.91,0.485932701
75% Corpus,3,0.61,symmetric,0.508544791
75% Corpus,3,0.91,0.01,0.54565037
75% Corpus,3,0.91,0.31,0.547346345
75% Corpus,3,0.91,0.61,0.500191839
75% Corpus,3,0.91,0.91,0.483636238
75% Corpus,3,0.91,symmetric,0.526395234
75% Corpus,3,symmetric,0.01,0.555540773
75% Corpus,3,symmetric,0.31,0.557921054
75% Corpus,3,symmetric,0.61,0.480466447
75% Corpus,3,symmetric,0.91,0.508369363
75% Corpus,3,symmetric,symmetric,0.538550302
75% Corpus,3,asymmetric,0.01,0.604425654
75% Corpus,3,asymmetric,0.31,0.521513654
75% Corpus,3,asymmetric,0.61,0.528449801
75% Corpus,3,asymmetric,0.91,0.56773776
75% Corpus,3,asymmetric,symmetric,0.590041927
75% Corpus,4,0.01,0.01,0.57280693
75% Corpus,4,0.01,0.31,0.553673087
75% Corpus,4,0.01,0.61,0.574460392
75% Corpus,4,0.01,0.91,0.454316554
75% Corpus,4,0.01,symmetric,0.569104744
75% Corpus,4,0.31,0.01,0.614069552
75% Corpus,4,0.31,0.31,0.591745992
75% Corpus,4,0.31,0.61,0.548085231
75% Corpus,4,0.31,0.91,0.559384985
75% Corpus,4,0.31,symmetric,0.583667843
75% Corpus,4,0.61,0.01,0.557360133
75% Corpus,4,0.61,0.31,0.598484807
75% Corpus,4,0.61,0.61,0.59425961
75% Corpus,4,0.61,0.91,0.583681565
75% Corpus,4,0.61,symmetric,0.590552328
75% Corpus,4,0.91,0.01,0.5742342
75% Corpus,4,0.91,0.31,0.547326336
75% Corpus,4,0.91,0.61,0.594554266
75% Corpus,4,0.91,0.91,0.59197867
75% Corpus,4,0.91,symmetric,0.563277774
75% Corpus,4,symmetric,0.01,0.582371853
75% Corpus,4,symmetric,0.31,0.597421654
75% Corpus,4,symmetric,0.61,0.595286267
75% Corpus,4,symmetric,0.91,0.582804038
75% Corpus,4,symmetric,symmetric,0.595845367
75% Corpus,4,asymmetric,0.01,0.634660803
75% Corpus,4,asymmetric,0.31,0.574877948
75% Corpus,4,asymmetric,0.61,0.591012321
75% Corpus,4,asymmetric,0.91,0.5710933
75% Corpus,4,asymmetric,symmetric,0.567428045
